title,url,word_count,issue
Head Chef - Chinese Cuisine,https://outreachrecruitment.net/jobs/head-chef-chinese-cuisine,2441,Salary/baseSalary missing or not specific
Showroom Sales Executive,https://outreachrecruitment.net/jobs/showroom-sales-executive,2286,Salary/baseSalary missing or not specific
Bartender,https://outreachrecruitment.net/jobs/bartender,2014,Salary/baseSalary missing or not specific
Housekeeping supervisor,https://outreachrecruitment.net/jobs/housekeeping-supervisor,2089,Salary/baseSalary missing or not specific
Counter assistant,https://outreachrecruitment.net/jobs/counter-assistant,1947,Salary/baseSalary missing or not specific
Kitchen Assistant,https://outreachrecruitment.net/jobs/kitchen-assistant,1976,Salary/baseSalary missing or not specific
Heavy Machine Operator,https://outreachrecruitment.net/jobs/heavy-machine-operator,2185,Salary/baseSalary missing or not specific
Building Services Maintenance Helper,https://outreachrecruitment.net/jobs/building-services-maintenance-helper,2649,Salary/baseSalary missing or not specific
Client Accountant,https://outreachrecruitment.net/jobs/client-accountant,2326,Salary/baseSalary missing or not specific
Housekeeping Attendant,https://outreachrecruitment.net/jobs/housekeeping-attendant,2234,Salary/baseSalary missing or not specific
Middle Officer - (Asset Management),https://outreachrecruitment.net/jobs/middle-officer-asset-management,2383,Salary/baseSalary missing or not specific
Front Office Supervisor,https://outreachrecruitment.net/jobs/front-office-supervisor,2347,Salary/baseSalary missing or not specific
Bartender & Front Office Agent,https://outreachrecruitment.net/jobs/bartender-front-office-agent,1869,Salary/baseSalary missing or not specific
Senior Sales & Marketing Executive - Airline Industry,https://outreachrecruitment.net/jobs/senior-sales-marketing-executive-airline-industry,2476,Salary/baseSalary missing or not specific
Accounts Payable,https://outreachrecruitment.net/jobs/accounts-payable,2447,Salary/baseSalary missing or not specific
Head Housekeeper,https://outreachrecruitment.net/jobs/head-housekeeper,2512,Salary/baseSalary missing or not specific
QA Manager - Construction,https://outreachrecruitment.net/jobs/qa-manager-construction,2279,Salary/baseSalary missing or not specific
Quality Assurance Officer/Engineer,https://outreachrecruitment.net/jobs/quality-assurance-officerengineer,2070,Salary/baseSalary missing or not specific
Tax Manager,https://outreachrecruitment.net/jobs/tax-manager,2138,Salary/baseSalary missing or not specific
Client Accounting Manager,https://outreachrecruitment.net/jobs/client-accounting-manager,2145,Salary/baseSalary missing or not specific
Skilled Worker for Outdoor & Civil Works,https://outreachrecruitment.net/jobs/skilled-worker-for-outdoor-civil-works,1862,Salary/baseSalary missing or not specific
Project Manager - Construction,https://outreachrecruitment.net/jobs/project-manager-construction,2467,Salary/baseSalary missing or not specific
"Airline Sales, Reservations, and Ticketing Officer",https://outreachrecruitment.net/jobs/airline-sales-reservations-and-ticketing-officer,2026,Salary/baseSalary missing or not specific
Account Manager,https://outreachrecruitment.net/jobs/account-manager,2387,Salary/baseSalary missing or not specific
Italian/Swedish Sales Team Leader,https://outreachrecruitment.net/jobs/italianswedish-sales-team-leader,1962,Salary/baseSalary missing or not specific
Italian/Swedish Retention Team Leader,https://outreachrecruitment.net/jobs/italianswedish-retention-team-leader,1902,Salary/baseSalary missing or not specific
Italian Media Buyer,https://outreachrecruitment.net/jobs/italian-media-buyer,1911,Salary/baseSalary missing or not specific
Sales Assistant Manager,https://outreachrecruitment.net/jobs/sales-assistant-manager,2003,Salary/baseSalary missing or not specific
Automotive Service Advisor,https://outreachrecruitment.net/jobs/automotive-service-advisor,1888,Salary/baseSalary missing or not specific
Sales Executive B2B,https://outreachrecruitment.net/jobs/sales-executive-b2b,2283,Salary/baseSalary missing or not specific
Construction Site Foreman,https://outreachrecruitment.net/jobs/construction-site-foreman,1886,Salary/baseSalary missing or not specific
High Voltage Motor Vehicle Technician,https://outreachrecruitment.net/jobs/high-voltage-motor-vehicle-technician,2255,Salary/baseSalary missing or not specific
Sales Engineer,https://outreachrecruitment.net/jobs/sales-engineer,1966,Salary/baseSalary missing or not specific
Logistics Officer,https://outreachrecruitment.net/jobs/logistics-officer,1887,Salary/baseSalary missing or not specific
Hostess,https://outreachrecruitment.net/jobs/hostess,2138,Salary/baseSalary missing or not specific
Audit Senior Associate,https://outreachrecruitment.net/jobs/audit-senior-associate,1900,Salary/baseSalary missing or not specific
Assistance Coordinator (Contact Centre Agent),https://outreachrecruitment.net/jobs/assistance-coordinator-contact-centre-agent,2273,Salary/baseSalary missing or not specific
Customer Contact Centre Representative,https://outreachrecruitment.net/jobs/customer-contact-centre-representative,2286,Salary/baseSalary missing or not specific
